table_name,column_name,data_type,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,key_type,column_comment
topic_difficulty_analysis,avg_score_when_weak,numeric,null,null,null,YES,null,,null
topic_difficulty_analysis,difficulty_rank,bigint,null,64,0,YES,null,,null
user_alerts,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
user_alerts,user_id,uuid,null,null,null,NO,null,FOREIGN KEY -> users(id),null
user_alerts,simulation_id,uuid,null,null,null,YES,null,FOREIGN KEY -> weekly_simulations(id),null
user_alerts,alert_type,text,null,null,null,NO,null,,null
user_alerts,message,text,null,null,null,NO,null,,null
user_alerts,is_read,boolean,null,null,null,YES,false,,null
user_alerts,created_at,timestamp with time zone,null,null,null,YES,now(),,null
user_medals,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
user_medals,user_id,uuid,null,null,null,NO,null,FOREIGN KEY -> users(id),null
user_medals,medal_type,text,null,null,null,NO,null,,null
user_medals,week_earned,integer,null,32,0,NO,null,,null
user_medals,metadata,jsonb,null,null,null,YES,'{}'::jsonb,,null
user_medals,earned_at,timestamp with time zone,null,null,null,YES,now(),,null
user_results,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
user_results,user_id,uuid,null,null,null,NO,null,FOREIGN KEY -> users(id),null
user_results,simulation_id,uuid,null,null,null,NO,null,FOREIGN KEY -> weekly_simulations(id),null
user_results,score,numeric,null,4,2,NO,null,,null
user_results,position,integer,null,32,0,YES,null,,null
user_results,position_cohort,integer,null,32,0,YES,null,,null
user_results,points_base,integer,null,32,0,YES,5,,null
user_results,points_performance,integer,null,32,0,YES,0,,null
user_results,points_improvement,integer,null,32,0,YES,0,,null
user_results,multiplier,numeric,null,3,1,YES,1.0,,null
user_results,total_points,integer,null,32,0,YES,0,,null
user_results,submitted_at,timestamp with time zone,null,null,null,YES,now(),,null
user_results,is_saturday_live,boolean,null,null,null,YES,false,,null
user_results,time_taken,integer,null,32,0,YES,null,,null
user_results,confidence_score,integer,null,32,0,YES,null,,null
user_results,z_score,numeric,null,5,2,YES,null,,null
user_results,percentile,integer,null,32,0,YES,null,,null
user_results,blank_answers,integer,null,32,0,YES,0,,Número de preguntas dejadas en blanco
user_results,device_type,text,null,null,null,YES,null,,"Tipo de dispositivo usado: desktop, mobile o tablet"
user_results,stress_level,integer,null,32,0,YES,50,,"Nivel de estrés percibido: 0=tranquilo, 50=normal, 100=muy nervioso"
user_results,review_time,integer,null,32,0,YES,0,,Minutos dedicados a revisar fallos después del examen
user_results,weakest_topics,ARRAY,null,null,null,YES,null,,Array con hasta 3 temas donde el usuario percibe más dificultad
user_results,difficulty_note,text,null,null,null,YES,null,,Observación libre del usuario sobre dificultades (máx 100 caracteres)
user_results,correct_answers,integer,null,32,0,YES,null,,null
user_results,wrong_answers,integer,null,32,0,YES,null,,null
user_results,error_percentage,numeric,null,5,2,YES,null,,null
user_results_backup_20250602,id,uuid,null,null,null,YES,null,,null
user_results_backup_20250602,user_id,uuid,null,null,null,YES,null,,null
user_results_backup_20250602,simulation_id,uuid,null,null,null,YES,null,,null
user_results_backup_20250602,score,numeric,null,4,2,YES,null,,null
user_results_backup_20250602,position,integer,null,32,0,YES,null,,null
user_results_backup_20250602,position_cohort,integer,null,32,0,YES,null,,null
user_results_backup_20250602,points_base,integer,null,32,0,YES,null,,null
user_results_backup_20250602,points_performance,integer,null,32,0,YES,null,,null
user_results_backup_20250602,points_improvement,integer,null,32,0,YES,null,,null
user_results_backup_20250602,multiplier,numeric,null,3,1,YES,null,,null
user_results_backup_20250602,total_points,integer,null,32,0,YES,null,,null
user_results_backup_20250602,submitted_at,timestamp with time zone,null,null,null,YES,null,,null
user_results_backup_20250602,is_saturday_live,boolean,null,null,null,YES,null,,null
user_results_backup_20250602,time_taken,integer,null,32,0,YES,null,,null
user_results_backup_20250602,confidence_score,integer,null,32,0,YES,null,,null
user_results_backup_20250602,z_score,numeric,null,5,2,YES,null,,null
user_results_backup_20250602,percentile,integer,null,32,0,YES,null,,null
user_results_backup_20250602,blank_answers,integer,null,32,0,YES,null,,null
user_results_backup_20250602,device_type,text,null,null,null,YES,null,,null
user_results_backup_20250602,stress_level,integer,null,32,0,YES,null,,null
user_results_backup_20250602,review_time,integer,null,32,0,YES,null,,null
user_results_backup_20250602,weakest_topics,ARRAY,null,null,null,YES,null,,null
user_results_backup_20250602,difficulty_note,text,null,null,null,YES,null,,null
user_results_backup_20250602,error_percentage,numeric,null,5,2,YES,null,,null
user_results_backup_formula_change,id,uuid,null,null,null,YES,null,,null
user_results_backup_formula_change,user_id,uuid,null,null,null,YES,null,,null
user_results_backup_formula_change,simulation_id,uuid,null,null,null,YES,null,,null
user_results_backup_formula_change,score,numeric,null,4,2,YES,null,,null
user_results_backup_formula_change,position,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,position_cohort,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,points_base,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,points_performance,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,points_improvement,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,multiplier,numeric,null,3,1,YES,null,,null
user_results_backup_formula_change,total_points,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,submitted_at,timestamp with time zone,null,null,null,YES,null,,null
user_results_backup_formula_change,is_saturday_live,boolean,null,null,null,YES,null,,null
user_results_backup_formula_change,time_taken,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,confidence_score,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,z_score,numeric,null,5,2,YES,null,,null
user_results_backup_formula_change,percentile,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,blank_answers,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,device_type,text,null,null,null,YES,null,,null
user_results_backup_formula_change,stress_level,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,review_time,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,weakest_topics,ARRAY,null,null,null,YES,null,,null
user_results_backup_formula_change,difficulty_note,text,null,null,null,YES,null,,null
user_results_backup_formula_change,correct_answers,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,wrong_answers,integer,null,32,0,YES,null,,null
user_results_backup_formula_change,error_percentage,numeric,null,5,2,YES,null,,null
user_results_backup_formula_change,backup_timestamp,timestamp with time zone,null,null,null,YES,null,,null
user_results_backup_formula_change,backup_reason,text,null,null,null,YES,null,,null
users,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
users,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
users,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
users,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
users,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
users,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
users,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
users,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
users,email,text,null,null,null,NO,null,,null
users,email,text,null,null,null,NO,null,,null
users,username,text,null,null,null,NO,null,,null
users,username,text,null,null,null,NO,null,,null
users,slug,text,null,null,null,NO,null,,null
users,slug,text,null,null,null,NO,null,,null
users,cohort,text,null,null,null,NO,null,,null
users,cohort,text,null,null,null,NO,null,,null
users,current_elo,integer,null,32,0,YES,1000,,null
users,current_elo,integer,null,32,0,YES,1000,,null
users,current_streak,integer,null,32,0,YES,0,,null
users,current_streak,integer,null,32,0,YES,0,,null
users,longest_streak,integer,null,32,0,YES,0,,null
users,longest_streak,integer,null,32,0,YES,0,,null
users,total_simulations,integer,null,32,0,YES,0,,null
users,total_simulations,integer,null,32,0,YES,0,,null
users,average_score,numeric,null,5,2,YES,0,,null
users,average_score,numeric,null,5,2,YES,0,,null
users,last_participation,date,null,null,null,YES,null,,null
users,last_participation,date,null,null,null,YES,null,,null
users,created_at,timestamp with time zone,null,null,null,YES,now(),,null
users,created_at,timestamp with time zone,null,null,null,YES,now(),,null
users,updated_at,timestamp with time zone,null,null,null,YES,now(),,null
users,updated_at,timestamp with time zone,null,null,null,YES,now(),,null
users,active,boolean,null,null,null,YES,true,,null
users,active,boolean,null,null,null,YES,true,,null
users,probability_pass,numeric,null,5,2,YES,50.00,,null
users,probability_pass,numeric,null,5,2,YES,50.00,,null
users,z_score,numeric,null,5,2,YES,0,,null
users,z_score,numeric,null,5,2,YES,0,,null
users,trend_direction,text,null,null,null,YES,'neutral'::text,,null
users,trend_direction,text,null,null,null,YES,'neutral'::text,,null
users,risk_level,text,null,null,null,YES,'medium'::text,,null
users,risk_level,text,null,null,null,YES,'medium'::text,,null
users,notes,ARRAY,null,null,null,YES,ARRAY[]::text[],,null
users,notes,ARRAY,null,null,null,YES,ARRAY[]::text[],,null
users,is_admin,boolean,null,null,null,YES,false,,null
users,is_admin,boolean,null,null,null,YES,false,,null
weekly_simulations,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
weekly_simulations,week_number,integer,null,32,0,NO,null,,null
weekly_simulations,start_date,date,null,null,null,NO,null,,null
weekly_simulations,end_date,date,null,null,null,NO,null,,null
weekly_simulations,total_participants,integer,null,32,0,YES,0,,null
weekly_simulations,average_score,numeric,null,5,2,YES,null,,null
weekly_simulations,median_score,numeric,null,5,2,YES,null,,null
weekly_simulations,top_score,integer,null,32,0,YES,null,,null
weekly_simulations,participants_20h,integer,null,32,0,YES,0,,null
weekly_simulations,participants_36h,integer,null,32,0,YES,0,,null
weekly_simulations,participants_48h,integer,null,32,0,YES,0,,null
weekly_simulations,average_20h,numeric,null,5,2,YES,null,,null
weekly_simulations,average_36h,numeric,null,5,2,YES,null,,null
weekly_simulations,average_48h,numeric,null,5,2,YES,null,,null
weekly_simulations,top_failed_questions,jsonb,null,null,null,YES,'[]'::jsonb,,null
weekly_simulations,status,text,null,null,null,YES,'active'::text,,null
weekly_simulations,created_at,timestamp with time zone,null,null,null,YES,now(),,null
weekly_simulations,processed_at,timestamp with time zone,null,null,null,YES,null,,null
weekly_simulations,updated_at,timestamp with time zone,null,null,null,YES,now(),,null
